name,year,rating,actors
All About Eve,1950,8.2,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
Yojimbo,1961,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
Babam ve Oglum,2005,8.2,"Çagan Irmak (dir.), Resit Kurt, Fikret Kuskan"
Up,2009,8.2,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
Batman Begins,2005,8.2,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
Some Like It Hot,1959,8.2,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
The Treasure of the Sierra Madre,1948,8.2,"John Huston (dir.), Humphrey Bogart, Walter Huston"
Unforgiven,1992,8.2,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
Downfall,2004,8.2,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
Die Hard,1988,8.2,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
Raging Bull,1980,8.2,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
Heat,1995,8.2,"Michael Mann (dir.), Al Pacino, Robert De Niro"
Children of Heaven,1997,8.2,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
The Third Man,1949,8.2,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
The Great Escape,1963,8.2,"John Sturges (dir.), Steve McQueen, James Garner"
Ikiru,1952,8.2,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
Chinatown,1974,8.2,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
Pan's Labyrinth,2006,8.2,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
My Neighbor Totoro,1988,8.2,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
Incendies,2010,8.2,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
Judgment at Nuremberg,1961,8.2,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
The Gold Rush,1925,8.2,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
The Secret in Their Eyes,2009,8.2,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
Inside Out,2015,8.2,"Pete Docter (dir.), Amy Poehler, Bill Hader"
Howl's Moving Castle,2004,8.2,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
On the Waterfront,1954,8.2,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
The Bridge on the River Kwai,1957,8.2,"David Lean (dir.), William Holden, Alec Guinness"
The Seventh Seal,1957,8.2,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
Room,2015,8.2,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
"Lock, Stock and Two Smoking Barrels",1998,8.2,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
Mr. Smith Goes to Washington,1939,8.2,"Frank Capra (dir.), James Stewart, Jean Arthur"
A Beautiful Mind,2001,8.2,"Ron Howard (dir.), Russell Crowe, Ed Harris"
Casino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
Blade Runner,1982,8.2,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
The Elephant Man,1980,8.1,"David Lynch (dir.), Anthony Hopkins, John Hurt"
V for Vendetta,2005,8.1,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
Wild Strawberries,1957,8.1,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
The Wolf of Wall Street,2013,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
The General,1926,8.1,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
Warrior,2011,8.1,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
Dial M for Murder,1954,8.1,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
Trainspotting,1996,8.1,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
